day,mjd,filt,mag,magerr
1,57983,i,17.235234430483366,0.0028
2,57984,i,17.952256217556897,0.0045
3,57985,i,18.64776755566022,0.0075
4,57986,i,18.98847331228652,0.0126
5,57987,i,19.320973435282397,0.0163
6,57988,i,19.743586130939477,0.0248
7,57989,i,20.251442091760655,0.0235
8,57990,i,20.81795108725272,0.0331
9,57991,i,21.399131189724507,0.073
10,57992,i,21.939768200333386,0.1603
11,57993,i,22.38841146300031,0.2394
1,57983,g,17.805899949209152,0.0046
2,57984,g,19.511896619127782,0.0123
3,57985,g,20.569213557784817,0.0451
4,57986,g,21.08645250501682,0.0846
5,57987,g,21.600228015407076,0.1139
6,57988,g,22.109526426433703,0.1608
7,57989,g,22.585700587880538,0.1131
8,57990,g,23.026140470344878,0.1103
9,57991,g,23.441358912496785,0.1424
10,57992,g,23.834282890075404,0.4156
11,57993,g,24.207240772347983,0.6207
